Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"SOURCEBUS", 0, 1,     230.94,    0.0,         0, 2,     230.94, -120.0,         0, 3,     230.94,  120.0,         0, 4,    1.69412,   -2.3,         0
"B291", 0, 1,    212.874,   -3.7,         0, 2,    226.281, -120.8,         0, 3,    217.933,  118.6,         0, 4,    5.07854,   -6.9,         0
"B2515", 0, 1,    212.874,   -3.7,         0, 2,    226.281, -120.8,         0, 3,    217.933,  118.6,         0, 4,    5.07854,   -6.9,         0
"B1328", 0, 1,    229.908,   -0.2,         0, 2,     230.01, -120.2,         0, 3,    230.036,  119.8,         0, 4,    1.72059,   -2.9,         0
"B1705", 0, 1,    229.905,   -0.2,         0, 2,    230.006, -120.2,         0, 3,     230.03,  119.8,         0, 4,     1.7172,   -3.0,         0
"B3296", 0, 1,    227.246,   -0.6,         0, 2,     226.76, -120.8,         0, 3,    227.866,  119.4,         0, 4,    2.07689,  -60.9,         0
"B1132", 0, 1,    227.247,   -0.6,         0, 2,    226.996, -120.8,         0, 3,    227.866,  119.4,         0, 4,    1.95404,  -55.2,         0
"B1194", 0, 1,    214.619,   -3.2,         0, 2,    227.022, -120.7,         0, 3,    220.375,  118.9,         0, 4,    5.84068,   -6.4,         0
"B680", 0, 1,    213.937,   -3.3,         0, 2,    227.042, -120.7,         0, 3,    220.374,  118.9,         0, 4,    6.49367,   -5.7,         0
"B3391", 0, 1,    228.616,   -0.4,         0, 2,    228.518, -120.5,         0, 3,    228.212,  119.5,         0, 4,   0.949801,  -17.4,         0
"B2142", 0, 1,    228.616,   -0.4,         0, 2,    228.518, -120.5,         0, 3,    228.212,  119.5,         0, 4,   0.949798,  -17.4,         0
"B177", 0, 1,    214.853,   -3.2,         0, 2,    226.067, -120.8,         0, 3,     220.44,  118.9,         0, 4,    5.48912,  -17.0,         0
"B1512", 0, 1,    214.855,   -3.2,         0, 2,    226.329, -120.8,         0, 3,    220.442,  118.9,         0, 4,    5.55025,  -14.2,         0
"B2038", 0, 1,    225.535,   -0.9,         0, 2,    225.498, -121.1,         0, 3,    227.095,  119.4,         0, 4,    2.63552,  -61.2,         0
"B2820", 0, 1,    225.177,   -0.9,         0, 2,     225.14, -121.1,         0, 3,    226.764,  119.4,         0, 4,    2.65671,  -65.2,         0
"B3284", 0, 1,    228.616,   -0.4,         0, 2,    228.518, -120.5,         0, 3,    228.212,  119.5,         0, 4,     0.9499,  -17.5,         0
"B3019", 0, 1,    228.616,   -0.4,         0, 2,    228.518, -120.5,         0, 3,    228.212,  119.5,         0, 4,   0.949862,  -17.5,         0
"B3375", 0, 1,    211.299,   -4.0,         0, 2,    226.924, -120.7,         0, 3,    216.599,  118.5,         0, 4,    5.72371,    8.6,         0
"B170", 0, 1,    211.303,   -4.0,         0, 2,    226.924, -120.7,         0, 3,    217.002,  118.5,         0, 4,    5.91928,    5.2,         0
"B2457", 0, 1,    212.874,   -3.7,         0, 2,    225.929, -120.8,         0, 3,    217.929,  118.6,         0, 4,    4.95807,  -10.9,         0
"B2679", 0, 1,    224.191,   -1.0,         0, 2,    224.656, -121.2,         0, 3,    226.217,  119.3,         0, 4,    2.67603,  -62.9,         0
"B1408", 0, 1,    224.464,   -1.0,         0, 2,    224.651, -121.2,         0, 3,    226.213,  119.3,         0, 4,    2.58464,  -68.4,         0
"B3136", 0, 1,     224.16,   -1.0,         0, 2,    223.776, -121.4,         0, 3,    225.901,  119.3,         0, 4,    3.15783,  -79.6,         0
"B1762", 0, 1,    224.094,   -1.0,         0, 2,     223.78, -121.4,         0, 3,    225.858,  119.3,         0, 4,    3.09847,  -79.5,         0
"B1121", 0, 1,    213.011,   -3.4,         0, 2,    226.098, -120.8,         0, 3,    220.325,  118.9,         0, 4,    7.15211,  -14.2,         0
"B2683", 0, 1,    213.262,   -3.4,         0, 2,    226.091, -120.8,         0, 3,    220.324,  118.9,         0, 4,    6.92054,  -14.7,         0
"B2571", 0, 1,    229.441,   -0.3,         0, 2,    229.254, -120.4,         0, 3,    228.275,  119.5,         0, 4,    0.56842,   29.9,         0
"B3036", 0, 1,    229.441,   -0.3,         0, 2,    229.254, -120.4,         0, 3,    228.275,  119.5,         0, 4,    0.56842,   29.9,         0
"B819", 0, 1,    212.255,   -3.7,         0, 2,    226.129, -120.8,         0, 3,    218.634,  118.7,         0, 4,    6.32313,  -12.0,         0
"B2153", 0, 1,    212.501,   -3.7,         0, 2,    226.122, -120.8,         0, 3,    218.634,  118.7,         0, 4,    6.09224,  -12.4,         0
"B2849", 0, 1,    229.448,   -0.3,         0, 2,    229.263, -120.4,         0, 3,     228.92,  119.5,         0, 4,   0.888521,  -16.3,         0
"B3114", 0, 1,    216.837,   -2.7,         0, 2,     227.08, -120.7,         0, 3,    221.685,  119.0,         0, 4,    5.35912,   -8.1,         0
"B2117", 0, 1,     214.97,   -3.0,         0, 2,    226.802, -120.7,         0, 3,    220.225,  118.9,         0, 4,     5.6434,   -6.4,         0
"B2861", 0, 1,    229.309,   -0.4,         0, 2,    229.019, -120.4,         0, 3,    228.634,  119.5,         0, 4,   0.746478,  -30.2,         0
"B3287", 0, 1,    229.302,   -0.4,         0, 2,    229.011, -120.4,         0, 3,    228.013,  119.4,         0, 4,   0.329576,   25.2,         0
"B3169", 0, 1,    216.497,   -2.7,         0, 2,    226.782, -120.7,         0, 3,    221.682,  119.0,         0, 4,    5.57632,  -10.6,         0
"B825", 0, 1,    212.501,   -3.7,         0, 2,    226.122, -120.8,         0, 3,    218.634,  118.7,         0, 4,    6.09224,  -12.4,         0
"B602", 0, 1,    228.616,   -0.4,         0, 2,    228.518, -120.5,         0, 3,    228.212,  119.5,         0, 4,   0.949832,  -17.5,         0
"B339", 0, 1,    228.616,   -0.4,         0, 2,    228.518, -120.5,         0, 3,    228.212,  119.5,         0, 4,   0.949824,  -17.5,         0
"B186", 0, 1,    214.857,   -3.2,         0, 2,    226.939, -120.7,         0, 3,    220.449,  118.9,         0, 4,     5.7404,   -8.0,         0
"B1496", 0, 1,    224.699,   -1.0,         0, 2,    224.404, -121.3,         0, 3,    226.195,  119.3,         0, 4,    2.81112,  -76.8,         0
"B1528", 0, 1,    224.437,   -1.0,         0, 2,    224.138, -121.3,         0, 3,    226.048,  119.3,         0, 4,    2.92883,  -78.0,         0
"B568", 0, 1,    224.886,   -1.1,         0, 2,    225.118, -121.3,         0, 3,    227.763,  119.5,         0, 4,    4.02525,  -53.7,         0
"B3354", 0, 1,    224.888,   -1.1,         0, 2,    225.343, -121.3,         0, 3,    227.763,  119.5,         0, 4,     3.9339,  -50.6,         0
"B2323", 0, 1,    214.247,   -3.4,         0, 2,    226.933, -120.8,         0, 3,    220.096,  118.9,         0, 4,    6.10695,   -7.3,         0
"B1939", 0, 1,    214.251,   -3.4,         0, 2,    226.932, -120.8,         0, 3,    220.335,  118.9,         0, 4,    6.27628,   -8.9,         0
"B1922", 0, 1,    229.012,   -0.4,         0, 2,    228.872, -120.4,         0, 3,    227.887,  119.5,         0, 4,   0.630265,   32.7,         0
"B1895", 0, 1,     229.02,   -0.4,         0, 2,     228.88, -120.4,         0, 3,    228.565,  119.5,         0, 4,   0.937179,  -13.5,         0
"B29", 0, 1,    228.725,   -0.4,         0, 2,    228.613, -120.5,         0, 3,     228.33,  119.5,         0, 4,   0.932248,  -19.9,         0
"B2358", 0, 1,    225.938,   -0.8,         0, 2,    226.442, -120.9,         0, 3,    227.831,  119.5,         0, 4,    2.82891,  -42.8,         0
"B2890", 0, 1,    226.415,   -0.8,         0, 2,    226.432, -120.9,         0, 3,    227.826,  119.5,         0, 4,    2.53425,  -50.6,         0
"B835", 0, 1,     228.84,   -0.4,         0, 2,    228.598, -120.4,         0, 3,     228.09,  119.5,         0, 4,    0.69363,  -12.5,         0
"B2099", 0, 1,    228.842,   -0.4,         0, 2,      228.6, -120.4,         0, 3,    228.297,  119.5,         0, 4,   0.857049,  -22.1,         0
"B1516", 0, 1,    214.854,   -3.2,         0, 2,    226.939, -120.7,         0, 3,    220.191,  118.9,         0, 4,    5.56265,   -6.1,         0
"B3159", 0, 1,    227.841,   -0.6,         0, 2,    227.991, -120.6,         0, 3,    227.812,  119.3,         0, 4,    1.17022,  -29.4,         0
"B2880", 0, 1,    228.091,   -0.6,         0, 2,    227.987, -120.6,         0, 3,    227.809,  119.3,         0, 4,   0.972082,  -37.4,         0
"B3233", 0, 1,    214.839,   -3.1,         0, 2,    226.976, -120.7,         0, 3,     220.69,  118.9,         0, 4,    6.03292,   -7.2,         0
"B1829", 0, 1,    215.128,   -3.1,         0, 2,    226.968, -120.7,         0, 3,    220.689,  118.9,         0, 4,    5.75645,   -7.6,         0
"B2990", 0, 1,    213.668,   -3.3,         0, 2,     227.05, -120.7,         0, 3,    220.374,  118.9,         0, 4,    6.75154,   -5.5,         0
"B2552", 0, 1,    225.206,   -1.0,         0, 2,    225.756, -121.2,         0, 3,    227.723,  119.5,         0, 4,    3.56878,  -48.6,         0
"B1510", 0, 1,    225.206,   -1.0,         0, 2,    225.756, -121.2,         0, 3,    227.723,  119.5,         0, 4,    3.56878,  -48.6,         0
"B161", 0, 1,    224.877,   -0.9,         0, 2,     224.94, -121.2,         0, 3,    226.222,  119.3,         0, 4,    2.30546,  -68.6,         0
"B1182", 0, 1,    224.882,   -0.9,         0, 2,    224.942, -121.2,         0, 3,    226.483,  119.3,         0, 4,    2.56615,  -67.3,         0
"B1850", 0, 1,    228.043,   -0.6,         0, 2,    227.683, -120.7,         0, 3,    227.483,  119.3,         0, 4,   0.992484,  -51.4,         0
"B749", 0, 1,    228.046,   -0.6,         0, 2,    227.686, -120.7,         0, 3,    227.725,  119.3,         0, 4,    1.23588,  -52.3,         0
"B806", 0, 1,      214.3,   -3.3,         0, 2,    226.969, -120.8,         0, 3,    220.382,  118.9,         0, 4,    6.25584,   -8.2,         0
"B2087", 0, 1,      214.3,   -3.3,         0, 2,    226.969, -120.8,         0, 3,    220.382,  118.9,         0, 4,    6.25584,   -8.2,         0
"B3123", 0, 1,    225.619,   -0.9,         0, 2,    225.893, -121.1,         0, 3,     227.45,  119.5,         0, 4,    3.02064,  -50.7,         0
"B1736", 0, 1,    225.624,   -0.9,         0, 2,    225.894, -121.1,         0, 3,    227.736,  119.5,         0, 4,    3.31141,  -51.1,         0
"B2031", 0, 1,    228.616,   -0.4,         0, 2,    228.518, -120.5,         0, 3,    228.212,  119.5,         0, 4,   0.949858,  -17.5,         0
"B1646", 0, 1,    228.032,   -0.6,         0, 2,    225.833, -120.8,         0, 3,    227.734,  119.3,         0, 4,    2.62529,  -91.6,         0
"B2877", 0, 1,    228.032,   -0.6,         0, 2,    225.833, -120.8,         0, 3,    227.734,  119.3,         0, 4,    2.62529,  -91.6,         0
"B764", 0, 1,    228.616,   -0.4,         0, 2,    228.518, -120.5,         0, 3,    228.212,  119.5,         0, 4,   0.949801,  -17.4,         0
"B2254", 0, 1,    229.444,   -0.3,         0, 2,    229.259, -120.4,         0, 3,     228.63,  119.5,         0, 4,   0.689615,   -0.8,         0
"B264", 0, 1,    218.349,   -2.4,         0, 2,    226.493, -120.7,         0, 3,    222.395,  119.1,         0, 4,    4.56795,  -17.6,         0
"B1230", 0, 1,    218.349,   -2.4,         0, 2,    226.493, -120.7,         0, 3,    222.395,  119.1,         0, 4,    4.56795,  -17.6,         0
"B1530", 0, 1,    224.991,   -0.9,         0, 2,    224.117, -121.2,         0, 3,     226.53,  119.3,         0, 4,    3.28555,  -79.5,         0
"B1534", 0, 1,    224.997,   -0.9,         0, 2,    224.686, -121.2,         0, 3,    226.528,  119.3,         0, 4,     2.8611,  -72.4,         0
"B411", 0, 1,    214.498,   -3.2,         0, 2,    226.978, -120.8,         0, 3,    220.655,  119.0,         0, 4,    6.35822,   -7.5,         0
"B521", 0, 1,    214.872,   -3.2,         0, 2,    226.967, -120.8,         0, 3,    220.655,  119.0,         0, 4,    6.00129,   -8.0,         0
"B2802", 0, 1,    224.293,   -1.0,         0, 2,    223.612, -121.4,         0, 3,    225.981,  119.3,         0, 4,    3.35709,  -82.0,         0
"B1531", 0, 1,    224.296,   -1.0,         0, 2,    223.867, -121.4,         0, 3,     225.98,  119.3,         0, 4,    3.15427,  -79.3,         0
"B2008", 0, 1,    213.205,   -3.6,         0, 2,    226.614, -120.8,         0, 3,    218.702,  118.7,         0, 4,    5.66521,   -8.6,         0
"B1253", 0, 1,    213.074,   -3.7,         0, 2,    226.613, -120.8,         0, 3,     218.64,  118.7,         0, 4,    5.71853,   -8.5,         0
"B470", 0, 1,    213.403,   -3.6,         0, 2,    226.678, -120.8,         0, 3,    218.806,  118.7,         0, 4,     5.5414,   -7.4,         0
"B1108", 0, 1,    224.695,   -1.0,         0, 2,    224.402, -121.3,         0, 3,     225.99,  119.3,         0, 4,    2.61531,  -78.4,         0
"B163", 0, 1,    213.072,   -3.7,         0, 2,    226.614, -120.8,         0, 3,    218.491,  118.7,         0, 4,    5.61495,   -7.5,         0
"B3225", 0, 1,    214.768,   -3.1,         0, 2,    226.977, -120.7,         0, 3,    219.431,  118.9,         0, 4,     5.3024,    2.7,         0
"B1414", 0, 1,    214.775,   -3.1,         0, 2,    226.977, -120.7,         0, 3,    220.035,  118.9,         0, 4,    5.65809,   -2.4,         0
"B2983", 0, 1,     214.25,   -3.4,         0, 2,    226.704, -120.8,         0, 3,    220.333,  118.9,         0, 4,    6.19911,  -11.0,         0
"B2326", 0, 1,    212.455,   -3.9,         0, 2,    226.849, -120.8,         0, 3,    218.082,  118.5,         0, 4,    5.53251,   -3.1,         0
"B293", 0, 1,    212.455,   -3.9,         0, 2,    226.849, -120.8,         0, 3,    218.082,  118.5,         0, 4,    5.53251,   -3.1,         0
"B1354", 0, 1,    212.277,   -3.9,         0, 2,    226.898, -120.7,         0, 3,    217.372,  118.5,         0, 4,    5.17511,    3.0,         0
"B2071", 0, 1,    212.283,   -3.9,         0, 2,    226.899, -120.8,         0, 3,    217.924,  118.5,         0, 4,    5.49288,   -1.8,         0
"B3307", 0, 1,    229.908,   -0.2,         0, 2,     230.01, -120.2,         0, 3,    230.036,  119.8,         0, 4,    1.72059,   -2.9,         0
"B2291", 0, 1,    225.622,   -0.9,         0, 2,    225.642, -121.1,         0, 3,    227.736,  119.5,         0, 4,    3.41934,  -55.0,         0
"B811", 0, 1,    215.384,   -2.9,         0, 2,    226.928, -120.7,         0, 3,     221.09,  119.0,         0, 4,    6.03366,   -8.4,         0
"B2012", 0, 1,    215.661,   -2.9,         0, 2,     226.92, -120.7,         0, 3,     221.09,  119.0,         0, 4,    5.76957,   -8.8,         0
"B2451", 0, 1,    228.359,   -0.5,         0, 2,    227.933, -120.6,         0, 3,    228.031,  119.4,         0, 4,    1.09682,  -47.6,         0
"B696", 0, 1,    228.359,   -0.5,         0, 2,    228.181, -120.6,         0, 3,    228.031,  119.4,         0, 4,    1.03197,  -34.5,         0
"B2205", 0, 1,    213.261,   -3.4,         0, 2,    225.866, -120.8,         0, 3,    220.322,  118.9,         0, 4,    6.86502,  -16.6,         0
"B137", 0, 1,      229.3,   -0.4,         0, 2,    229.009, -120.4,         0, 3,    227.865,  119.4,         0, 4,   0.340055,   50.6,         0
"B1300", 0, 1,    214.131,   -3.3,         0, 2,    226.696, -120.8,         0, 3,    219.464,  118.8,         0, 4,    5.61426,   -7.8,         0
"B2143", 0, 1,      229.3,   -0.4,         0, 2,     229.01, -120.4,         0, 3,    227.902,  119.4,         0, 4,   0.331371,   44.5,         0
"B2673", 0, 1,    224.575,   -1.0,         0, 2,    224.633, -121.2,         0, 3,      226.2,  119.3,         0, 4,    2.59965,  -70.8,         0
"B954", 0, 1,    224.575,   -1.0,         0, 2,    224.633, -121.2,         0, 3,      226.2,  119.3,         0, 4,    2.59965,  -70.8,         0
"B1950", 0, 1,    220.356,   -2.0,         0, 2,    227.592, -120.6,         0, 3,    223.997,  119.2,         0, 4,    4.41334,  -11.0,         0
"B461", 0, 1,    219.073,   -2.2,         0, 2,    227.366, -120.7,         0, 3,     223.11,  119.2,         0, 4,    4.71483,  -10.3,         0
"B2840", 0, 1,     213.89,   -3.1,         0, 2,    226.833, -120.7,         0, 3,    220.224,  118.9,         0, 4,     6.6774,   -5.4,         0
"B1274", 0, 1,    214.085,   -3.1,         0, 2,    226.827, -120.7,         0, 3,    220.224,  118.9,         0, 4,     6.4907,   -5.5,         0
"B1070", 0, 1,     229.32,   -0.4,         0, 2,     229.08, -120.4,         0, 3,    228.688,  119.5,         0, 4,   0.759853,  -24.8,         0
"B2728", 0, 1,    227.233,   -0.6,         0, 2,    226.985, -120.8,         0, 3,    226.915,  119.4,         0, 4,   0.994784,  -54.3,         0
"B1614", 0, 1,    227.237,   -0.6,         0, 2,    226.988, -120.8,         0, 3,     227.21,  119.4,         0, 4,    1.29268,  -54.7,         0
"B52", 0, 1,    225.614,   -0.9,         0, 2,    224.945, -121.2,         0, 3,    227.739,  119.5,         0, 4,    3.78444,  -64.5,         0
"B1185", 0, 1,    214.452,   -3.2,         0, 2,     226.98, -120.8,         0, 3,    219.939,  118.9,         0, 4,    5.91702,   -2.6,         0
"B3161", 0, 1,    214.456,   -3.2,         0, 2,    226.979, -120.8,         0, 3,    220.269,  118.9,         0, 4,    6.13116,   -4.9,         0
"B206", 0, 1,    228.722,   -0.4,         0, 2,    228.502, -120.5,         0, 3,    228.202,  119.5,         0, 4,   0.869242,  -22.7,         0
"B2271", 0, 1,    224.888,   -1.1,         0, 2,    225.343, -121.3,         0, 3,    227.763,  119.5,         0, 4,     3.9339,  -50.6,         0
"B82", 0, 1,    224.702,   -1.1,         0, 2,    225.706, -121.2,         0, 3,    227.757,  119.5,         0, 4,    3.90864,  -43.6,         0
"B1431", 0, 1,     224.97,   -1.1,         0, 2,      225.7, -121.3,         0, 3,    227.754,  119.5,         0, 4,    3.73938,  -46.5,         0
"B3083", 0, 1,      212.5,   -3.7,         0, 2,    225.905, -120.8,         0, 3,    218.632,  118.7,         0, 4,     6.0322,  -14.5,         0
"B2504", 0, 1,    224.296,   -1.0,         0, 2,    223.867, -121.4,         0, 3,     225.98,  119.3,         0, 4,    3.15427,  -79.3,         0
"B1476", 0, 1,    224.997,   -0.9,         0, 2,    224.686, -121.2,         0, 3,    226.528,  119.3,         0, 4,     2.8611,  -72.4,         0
"B1594", 0, 1,    227.972,   -0.6,         0, 2,    227.951, -120.6,         0, 3,    226.969,  119.2,         0, 4,   0.198478,   21.8,         0
"B506", 0, 1,     227.98,   -0.6,         0, 2,    227.959, -120.6,         0, 3,    227.583,  119.3,         0, 4,   0.683573,  -39.8,         0
"B1094", 0, 1,    224.875,   -1.0,         0, 2,    224.876, -121.2,         0, 3,    227.727,  119.5,         0, 4,    4.10723,  -57.0,         0
"B2149", 0, 1,    224.877,   -1.0,         0, 2,    225.135, -121.2,         0, 3,    227.727,  119.5,         0, 4,    3.98899,  -53.6,         0
"B2826", 0, 1,    228.359,   -0.5,         0, 2,    227.933, -120.6,         0, 3,    228.031,  119.4,         0, 4,    1.09715,  -47.6,         0
"B903", 0, 1,    226.415,   -0.8,         0, 2,    226.432, -120.9,         0, 3,    227.826,  119.5,         0, 4,    2.53425,  -50.6,         0
"B2176", 0, 1,    214.479,   -3.1,         0, 2,    226.985, -120.7,         0, 3,    220.035,  118.9,         0, 4,    5.94416,   -2.2,         0
"B44", 0, 1,    220.356,   -2.0,         0, 2,    227.592, -120.6,         0, 3,    223.997,  119.2,         0, 4,    4.41334,  -11.0,         0
"B2317", 0, 1,    229.595,   -0.3,         0, 2,    229.522, -120.3,         0, 3,    229.327,  119.6,         0, 4,    1.23946,   -7.7,         0
"B1813", 0, 1,    229.438,   -0.3,         0, 2,    229.251, -120.4,         0, 3,        228,  119.5,         0, 4,   0.613047,   56.5,         0
"B1859", 0, 1,     215.66,   -2.9,         0, 2,    226.674, -120.7,         0, 3,    221.087,  119.0,         0, 4,    5.68847,  -11.3,         0
"B468", 0, 1,    230.927,    0.0,         0, 2,    230.934, -120.0,         0, 3,     230.93,  120.0,         0, 4,    1.69403,   -2.4,         0
"B2518", 0, 1,    230.927,    0.0,         0, 2,    230.934, -120.0,         0, 3,    230.931,  120.0,         0, 4,    1.69456,   -2.4,         0
"B1144", 0, 1,    214.128,   -3.3,         0, 2,    226.696, -120.8,         0, 3,    219.212,  118.8,         0, 4,    5.44243,   -5.8,         0
"B2401", 0, 1,    229.316,   -0.4,         0, 2,    229.077, -120.4,         0, 3,    228.391,  119.5,         0, 4,   0.528014,   -7.8,         0
"B2892", 0, 1,    227.333,   -0.6,         0, 2,    227.243, -120.8,         0, 3,    228.242,  119.5,         0, 4,    2.13283,  -43.7,         0
"B1487", 0, 1,    227.333,   -0.6,         0, 2,    227.243, -120.8,         0, 3,    228.242,  119.5,         0, 4,    2.13283,  -43.7,         0
"B1753", 0, 1,      229.2,   -0.4,         0, 2,    229.082, -120.4,         0, 3,     228.69,  119.5,         0, 4,   0.865838,  -21.0,         0
"B1489", 0, 1,     214.16,   -3.3,         0, 2,     227.03, -120.8,         0, 3,    220.358,  118.9,         0, 4,    6.32509,   -6.5,         0
"B961", 0, 1,     214.43,   -3.3,         0, 2,    227.023, -120.8,         0, 3,    220.358,  118.9,         0, 4,    6.06654,   -6.8,         0
"B1285", 0, 1,    214.426,   -3.3,         0, 2,    227.023, -120.8,         0, 3,    220.076,  118.9,         0, 4,    5.87634,   -4.8,         0
"B2805", 0, 1,    219.069,   -2.2,         0, 2,    227.365, -120.6,         0, 3,    222.781,  119.2,         0, 4,    4.48201,   -7.4,         0
"B1573", 0, 1,    218.097,   -2.4,         0, 2,    227.166, -120.7,         0, 3,     222.74,  119.1,         0, 4,    5.23591,  -11.5,         0
"B2884", 0, 1,    218.358,   -2.4,         0, 2,    227.159, -120.7,         0, 3,     222.74,  119.1,         0, 4,    4.99047,  -12.2,         0
"B707", 0, 1,    224.157,   -1.0,         0, 2,    223.533, -121.4,         0, 3,    225.902,  119.3,         0, 4,    3.35134,  -82.2,         0
"B1188", 0, 1,    227.987,   -0.6,         0, 2,    227.966, -120.6,         0, 3,    227.622,  119.3,         0, 4,    0.73367,  -38.2,         0
"B2806", 0, 1,    227.979,   -0.6,         0, 2,    227.958, -120.6,         0, 3,    226.993,  119.3,         0, 4,   0.237695,   17.4,         0
"B1543", 0, 1,    216.837,   -2.7,         0, 2,     227.08, -120.7,         0, 3,    221.685,  119.0,         0, 4,    5.35912,   -8.1,         0
"B2053", 0, 1,    227.739,   -0.6,         0, 2,     227.97, -120.6,         0, 3,    227.625,  119.3,         0, 4,   0.932314,  -27.9,         0
"B3066", 0, 1,    228.616,   -0.4,         0, 2,    228.518, -120.5,         0, 3,    228.212,  119.5,         0, 4,   0.949798,  -17.4,         0
"B1039", 0, 1,     228.03,   -0.6,         0, 2,    225.584, -120.8,         0, 3,    227.735,  119.3,         0, 4,    2.85096,  -93.8,         0
"B11", 0, 1,    227.246,   -0.6,         0, 2,    226.748, -120.8,         0, 3,    227.866,  119.4,         0, 4,    2.08371,  -61.2,         0
"B1570", 0, 1,    212.184,   -3.9,         0, 2,    226.857, -120.8,         0, 3,    218.082,  118.5,         0, 4,    5.79519,   -2.9,         0
"B2201", 0, 1,     211.11,   -3.9,         0, 2,    226.888, -120.8,         0, 3,     218.08,  118.5,         0, 4,    6.83015,   -2.6,         0
